id,client_id,order,"name","name_dashboard","version",base_package_id,"products","criteria","other_products",certificate_available,group_separately,"optional_for_certificate","notes",access_level,"start_date","discountinued_date_DEPRECATED","discontinued_date","status",list_public,list_client_admin,list_deque_admin,"package_type",price,"price_type"
1,NULL,10,"Full Curriculum","Full Curriculum","1.0",NULL,"2,1,3,13,6,9,7,14,28,10,39,35",NULL,"",0,0,"35","full",0,"2013-12-01","2017-07-31","2017-07-31","retired",0,0,0,"course",NULL,NULL
2,NULL,310,"Axe Monitor Customers","Axe Monitor Customers","1.0",NULL,"18,91,196,197,198",NULL,"",0,0,NULL,"software-based",100,"2013-12-01",NULL,NULL,"active",1,0,1,"software license",NULL,NULL
3,NULL,350,"Amaze Customers","Amaze Customers","1.0",NULL,"60,20",NULL,"",0,0,NULL,"software-based",100,"2013-12-01",NULL,NULL,"active",1,0,1,"course",NULL,NULL
4,29,1,"Deque Employees - Internal","Deque Employees - Internal",NULL,NULL,"244,246,248",NULL,"",0,1,"35","role-based",1000,"2023-12-06",NULL,NULL,"active",0,0,0,"course",NULL,NULL
6,NULL,20,"Web Accessibility","Web Accessibility Specialist","1.0",NULL,"2,1,6,13,9,3",NULL,"",1,1,NULL,"role-based",0,"2013-12-01","2017-07-31","2017-07-31","retired",0,0,0,"course",NULL,NULL
8,NULL,40,"Document Accessibility","Document Accessibility Specialists","1.0",NULL,"60,10,14,96,28,102,35,250,251",NULL,"1",0,0,"35","role-based",1000,"2013-12-01",NULL,NULL,"active",1,1,1,"course",150.00,"Curriculum Package"
10,NULL,100,"Axe Monitor Administrator","Axe Monitor Administrator","1.0",NULL,"18,60,1,3,22,197",NULL,"6,13",0,0,NULL,"role-based",100,"2013-12-01",NULL,NULL,"active",0,0,1,"course",NULL,NULL
11,NULL,400,"User Guides","All User Guides","1.0",NULL,"18,33,42,91,105,196,197,198",NULL,"",0,0,NULL,"category",1000,"2013-12-01",NULL,NULL,"active",0,0,1,"software license",NULL,NULL
12,NULL,60,"Standard Bootcamp/ILT Complementary","Standard Bootcamp/ILT Complementary","1.0",NULL,"2,1,6,13,9,3",NULL,"",0,0,NULL,"common grouping",0,"2013-12-01","2017-07-31","2017-07-31","retired",0,0,0,"course",NULL,NULL
13,NULL,315,"Axe DevTools HTML Customers","Axe DevTools HTML Customers","1.0",NULL,"31,138,141,183,187,191,196",NULL,"",0,0,NULL,"software-based",100,"2013-12-01",NULL,NULL,"active",0,0,1,"software license",NULL,NULL
14,NULL,50,"Web Accessibility Curriculum, with IAAP CPACC and WAS Certification Prep","Web Accessibility Curriculum, with IAAP CPACC and WAS Certification Prep","2.2",NULL,"240,249,201,39,60,70,237,235,236,234,63,100,65,68,69,71,61,18,30,62,64,66,67",NULL,"",0,0,NULL,"roll-based",1000,"2017-07-31",NULL,NULL,"active",1,1,1,"course",150.00,NULL
15,NULL,15,"Full Curriculum","Full Curriculum","2.2",NULL,"201,60,61,62,63,64,65,66,67,68,69,70,237,235,236,234,71,72,74,192,94,10,96,184,28,39,35,100,102,119,18,175,176,177,179,180,30,199,95,201,228,185,241,230,231,238,240,249,232,233,243,250,251",NULL,"",0,0,"35","full 2.0",1000,"2017-07-31",NULL,NULL,"active",1,1,1,"course",315.00,"Full Curriculum"
16,NULL,25,"Web Accessibility (Detailed \"Deep Dive\" Courses)","Web Accessibility (Detailed \"Deep Dive\" Courses)","2.2",NULL,"201,60,70,237,235,236,234,63,100,65,68,69,71,61,18,30,62,64,66,67",NULL,"",1,1,NULL,"role-based",0,"2017-07-31",NULL,"2023-07-25","deprecated",1,1,1,"course",150.00,"Curriculum Package"
17,NULL,45,"Document Accessibility Specialists UNFINISHED","Document Accessibility Specialists UNFINISHED","2.0",NULL,"60,61,94,95,96,97,98,35,95,250,251",NULL,"",0,0,"35","role-based",0,"2013-12-01",NULL,NULL,"in development",0,0,0,"course",NULL,"Curriculum Package"
18,NULL,55,"Accessibility Program Management","Accessibility Management","2.0",NULL,"60,231,72,74,35,119",NULL,"",1,1,NULL,"role-based",1000,"2013-12-01",NULL,NULL,"active",1,1,1,"course",150.00,"Small Curriculum Package"
19,NULL,57,"Native Mobile Apps","Mobile: Native Apps","1.0",NULL,"60,233,185,241,232,61,199",NULL,"",1,1,NULL,"role-based",1000,"2017-07-31",NULL,NULL,"active",1,1,1,"course",150.00,"Curriculum Package"
