id,root_pg,"alternate_view",client_id,rg_id,desc_pg,order,access_level,"type","v20","status","name","short_name","criteria","replaced_by_ids","notes",minutes,iaap_credits,price,"category","description","authors","version","keywords"
1,14,"N",NULL,5,709,2040,0,"course","N","retired","HTML and CSS Accessibility","HTML/CSS - OLD",NULL,"62,63,64,65,66,67,100","",NULL,NULL,NULL,"Web Accessibility",NULL,"Paul Bohman","1.0",NULL
2,101,"N",NULL,7,708,2020,0,"course","N","retired","Web Accessibility Fundamentals","Fundamentals - OLD",NULL,"60","",NULL,NULL,NULL,"Concepts and Requirements",NULL,"Paul Bohman","1.0",NULL
3,102,"N",NULL,6,710,2050,0,"course","N","retired","Web Accessibility Testing Techniques","Testing Techniques - OLD",NULL,"71","",NULL,1.00,NULL,NULL,NULL,"Paul Bohman","1.0",NULL
4,103,"N",NULL,12,0,8000,0,"course","N","retired","FireEyes Fundamentals","VERY OLD FireEyes",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,NULL,NULL
5,104,"N",NULL,11,0,8010,0,"course","N","retired","WorldSpace Fundamentals","OLD WorldSpace",NULL,NULL,"",NULL,NULL,NULL,"Deque Products",NULL,NULL,"1.0",NULL
6,105,"N",NULL,10,711,2070,0,"course","N","retired","ARIA and JavaScript Accessibility","ARIA/JavaScript - OLD",NULL,"68,69","",NULL,NULL,NULL,"Web Accessibility",NULL,"Paul Bohman","1.0",NULL
7,106,"N",NULL,9,713,2120,0,"course","N","retired","MS Word Accessibility Techniques","Word",NULL,"94","",60,1.00,45.00,"Document Accessibility","Learn how to create accessible Word documents.","Paul Bohman","1.0","word, microsoft, office, documents, content, writers, contributors, links, headings, color, contrast, tables, multimedia, accessibility, web accessibility, disabilities"
8,107,"N",NULL,8,714,2160,0,"course","N","retired","PDF Accessibility","PDF",NULL,"96,184","",195,3.25,45.00,"Document Accessibility","Learn how to create accessible PDF documents.","Denis Boudreau, Paul Bohman, Jonee Lee","1.0","pdf, adobe, acrobat, tagged pdf, documents, office, content, forms, charts, writers, contributors, links, headings, color, contrast, tables, multimedia, accessibility, web accessibility, disabilities"
9,441,"N",NULL,15,712,2080,0,"course","N","retired","Mobile Web Accessibility","Mobile - OLD",NULL,NULL,"",NULL,NULL,NULL,"Web Accessibility",NULL,"Paul Bohman","1.0",NULL
10,691,"N",NULL,16,715,2140,1000,"course","N","active","InDesign Accessibility","InDesign",NULL,NULL,"",30,0.50,45.00,"Document Accessibility","How to use InDesign to create accessible output.","Paul Bohman","1.0","InDesign, accessibility, documents"
11,692,"N",NULL,17,716,8020,0,"course","N","retired","Flash Accessibility","OLD Flash",NULL,NULL,"",NULL,NULL,NULL,"Web Accessibility",NULL,NULL,"1.0",NULL
12,693,"N",NULL,14,717,7000,0,"course","N","retired","ASP.net Accessibility Best Practices","ASP.net",NULL,NULL,"",NULL,NULL,NULL,"Web Accessibility",NULL,"Paul Bohman","1.0",NULL
13,742,"N",NULL,20,747,2060,0,"course","N","retired","Testing with Screen Readers","Screen Readers - OLD",NULL,"61","",NULL,NULL,NULL,NULL,NULL,"Paul Bohman","1.0",NULL
14,828,"N",NULL,21,831,2130,1000,"course","N","retired","MS PowerPoint Accessibility Techniques","PowerPoint",NULL,NULL,"",15,0.25,45.00,"Document Accessibility","Learn how to create accessible PowerPoint documents.","Paul Bohman","1.0","powerpoint, slides, microsoft, office, documents, content, forms, charts, writers, contributors, links, headings, color, contrast, tables, multimedia, accessibility, web accessibility, disabilities"
15,464,"N",NULL,422222,0,8030,0,"user guide","N","retired","User Guide: WorldSpace","OLD WorldSpace User Guide",NULL,NULL,"(Viewable by everyone.)",NULL,NULL,NULL,"Deque Products",NULL,NULL,NULL,NULL
16,16971,"N",NULL,23,0,15000,0,"course","N","retired","Demo Course","Demo",NULL,NULL,"Fake course to be used for system development.",NULL,NULL,NULL,NULL,NULL,NULL,"1.0",NULL
17,1314,"N",NULL,25,0,8040,0,"course","N","retired","Humana DevMin Accessibility Testing","Humana DevMin",NULL,NULL,"",NULL,NULL,NULL,NULL,NULL,NULL,"1.0",NULL
