id,"name","description",parent,rank,dashboard
1,"Administrator","",0,0,1
3,"WpRPtC","",25,0,1
4,"bFbZ","",25,0,1
6651,"itk7sXKNKLTPE2yRVjp_Kk0i1F7O_D5TZurNoMnA",NULL,4690,0,1
25,"Clients","",0,0,1
29,"JB0RYW","",25,0,1
33,"2XSGdhc","",25,0,1
34,"Ona5PX4o2B_kqCRnuiK7pYoeAskdi9Ua0BUc1icaefg_","",25,0,1
36,"Iwue","",25,0,1
37,"xxU29V0JcZG","",25,0,1
38,"OSyE51WQT1P","",25,0,1
39,"mG8GVjpXDkmQYTuAd","",25,0,1
40,"G2lSJG","",25,0,1
41,"nIqG3QTaBoEDgGH5gUkYZ6zfWeQIvBKO24xUAhfbnSk_","",765,0,1
42,"BUkUOg5FMusFk2gX8ph2oTZuKSecwo5RFPm_rASqlyU_","",765,0,1
43,"p0qg_6L9xb7T0qZ4Fzzm","",25,0,1
44,"_mj","",25,0,1
50,"kgIjtfOx","",43,0,1
52,"In7qobQX","",43,0,1
53,"hPhdSh_6","",43,0,1
54,"stoOgfWr","",43,0,1
55,"602_53wg","",43,0,1
56,"0AP_o9xA","",43,0,1
58,"cB6Nc3SW","",43,0,1
59,"Goaps5ed","",43,0,1
64,"VpiCtwrJ","",43,0,1
65,"dDUEpQaI","",43,0,1
66,"K_vgzdie","",43,0,1
67,"UsHQuBrk","",43,0,1
68,"jPGDWKDD","",43,0,1
69,"IxtXnrIm","",43,0,1
70,"yQmkUf8U","",43,0,1
71,"9RB2MBak","",43,0,1
72,"87lGfZBa","",43,0,1
73,"7tQoZQZ5","",43,0,1
74,"WkGgmqnJ","",43,0,1
75,"1ndCa9rm","",43,0,1
76,"JdE7dfjX","",43,0,1
77,"_lGGO5O2","",43,0,1
78,"asqfc8w1","",43,0,1
79,"bVD_BvKF","",43,0,1
80,"218KgUoI","",43,0,1
81,"qrmHsAkb","",43,0,1
82,"fkB_fihi","",43,0,1
83,"t9NJGJ2K","",43,0,1
84,"eDJZIKTQ","",43,0,1
85,"UyjzJ4jF","",43,0,1
86,"hFrB_RPX","",43,0,1
87,"Z8__8QU9","",43,0,1
88,"kSHhWJ5o","",43,0,1
89,"IWgBWY3w","",43,0,1
90,"8RbsYGdM","",43,0,1
91,"AbWo5Tvr","",43,0,1
92,"4TmBQVPp","",43,0,1
93,"wgqh84vy","",43,0,1
94,"VwalkR8D","",43,0,1
95,"TtCcAZPF","",43,0,1
96,"YXUv9432","",43,0,1
97,"CEmS3aRS","",43,0,1
98,"0AwC3Qu7","",43,0,1
99,"jy5_BGVp","",43,0,1
100,"visCGAr5","",43,0,1
101,"9_iasn2_","",43,0,1
102,"xSb15NDE","",43,0,1
103,"EqaN9OiN","",43,0,1
104,"8YtJFIuy","",43,0,1
105,"A5fHzM_X","",43,0,1
106,"NzSRXvfu","",43,0,1
107,"K6GlI_Rm","",43,0,1
